title,language,genre,keywords,cast,director,description,release_year,poster
Drishyam,Malayalam,Thriller Crime,"family investigation murder secrecy","Mohanlal Meena Georgekutty",Jeethu Joseph,"A man protects his family from a police investigation after an unexpected crime.",2013,https://image_url
Drishyam 2,Malayalam,Thriller Crime,"past secrets police pressure family","Mohanlal Meena",Jeethu Joseph,"The past resurfaces as the family faces new threats and investigations.",2021,https://image_url
Premam,Malayalam,Romance Drama,"college love heartbreak youth","Nivin Pauly Sai Pallavi",Alphonse Puthren,"A manâ€™s romantic journey through different stages of his life.",2015,https://image_url
Bangalore Days,Malayalam,Drama Romance,"family friendship city life","Dulquer Salmaan Nivin Pauly Nazriya",Anjali Menon,"Three cousins explore love, career, and life in Bangalore.",2014,https://image_url
Kumbalangi Nights,Malayalam,Drama,"brothers family village emotions","Soubin Shahir Fahadh Faasil",Madhu C Narayanan,"Four brothers navigate love, trauma, and relationships.",2019,https://image_url
Lucifer,Malayalam,Action Thriller,"politics power mystery","Mohanlal Prithviraj",Prithviraj Sukumaran,"A powerful man enters Kerala politics after the death of a leader.",2019,https://image_url
Baahubali The Beginning,Telugu,Action Fantasy,"kingdom war betrayal","Prabhas Rana Daggubati",S S Rajamouli,"A man discovers his royal past and destiny.",2015,https://image_url
Baahubali The Conclusion,Telugu,Action Fantasy,"revenge kingdom legacy","Prabhas Anushka Shetty",S S Rajamouli,"The story behind the fall of a great king is revealed.",2017,https://image_url
RRR,Telugu,Action Drama,"freedom fighters revolution","Ram Charan Jr NTR",S S Rajamouli,"Two revolutionaries fight against British rule.",2022,https://image_url
KGF Chapter 1,Kannada,Action Crime,"gangster power ambition","Yash Srinidhi Shetty",Prashanth Neel,"A young man rises through the criminal underworld.",2018,https://image_url
KGF Chapter 2,Kannada,Action Crime,"empire power enemies","Yash Sanjay Dutt",Prashanth Neel,"Rocky fights to maintain his dominance.",2022,https://image_url
Vikram,Tamil,Action Thriller,"secret agent drugs syndicate","Kamal Haasan Vijay Sethupathi",Lokesh Kanagaraj,"A covert operation to dismantle a drug cartel.",2022,https://image_url
Kaithi,Tamil,Action Thriller,"prisoner night rescue","Karthi Narain",Lokesh Kanagaraj,"A prisoner helps police save officers in one night.",2019,https://image_url
Jai Bhim,Tamil,Crime Drama,"law justice tribal rights","Suriya Lijomol Jose",T J Gnanavel,"A lawyer fights for justice for oppressed communities.",2021,https://image_url
Asuran,Tamil,Action Drama,"revenge caste violence","Dhanush Manju Warrier",Vetrimaaran,"A father fights to protect his family from oppression.",2019,https://image_url
Andhadhun,Hindi,Thriller Crime,"blind pianist murder twist","Ayushmann Khurrana Tabu",Sriram Raghavan,"A blind pianist gets caught in a murder mystery.",2018,https://image_url
3 Idiots,Hindi,Comedy Drama,"college friendship pressure","Aamir Khan R Madhavan",Rajkumar Hirani,"Three friends challenge the education system.",2009,https://image_url
Dangal,Hindi,Sports Drama,"wrestling daughters determination","Aamir Khan Fatima Sana Shaikh",Nitesh Tiwari,"A father trains his daughters to become wrestlers.",2016,https://image_url
Article 15,Hindi,Crime Drama,"social justice caste","Ayushmann Khurrana",Anubhav Sinha,"A police officer exposes deep-rooted discrimination.",2019,https://image_url
Swades,Hindi,Drama,"village development patriotism","Shah Rukh Khan",Ashutosh Gowariker,"A man returns to India to bring change.",2004,https://image_url
